,FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
0,1,6123.547647058824,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0003
1,2,525.0,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0005
2,3,677.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B0007
3,4,500.0,PO,VAFB SLC 4E,1,False,False,False,,1.0,0,B1003
4,5,3170.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1004
5,6,3325.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1005
6,7,2296.0,ISS,CCSFS SLC 40,1,False,False,True,,1.0,0,B1006
7,8,1316.0,LEO,CCSFS SLC 40,1,False,False,True,,1.0,0,B1007
8,9,4535.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1008
9,10,4428.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1011
10,11,2216.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B1010
11,12,2395.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012
12,13,570.0,ES-L1,CCSFS SLC 40,1,True,False,True,,1.0,0,B1013
13,14,1898.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015
14,15,4707.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1016
15,16,2477.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018
16,17,2034.0,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019
17,18,553.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017
18,19,5271.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020
19,20,3136.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
20,21,4696.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022
21,22,3100.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1023
22,23,2257.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,B1025
23,24,4600.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1026
